First Name,Last Name,Phone Number,Age,Experience,Email,Role,Skillset1,Skillset2,Skillset3
Suman,Aarav,9799473918,24,1,sumanaarav@gmail.com,Cloud architect,Operating systems, Data Structures,Cloud
Akshara,Tanvi,6714706408,31,0,aksharatanvi@gmail.com,DevOps engineer,Linux , Data Structures,Data mining
Kavita,Mukesh,8915295057,35,10,kavitamukesh@gmail.com,Security Analyst, Network security control, Data Structures,Algorithms and frameworks
Ria,Riyaan,9424398951,30,7,riariyaan@gmail.com,IoT solutions architect,API automation and testing ,Flask,DBMS
Pooja,Aanya,6942540882,33,10,poojaaanya@gmail.com,Frontend developer,HTML/CSS,Networking and data centres,DBMS
Kamal,Vinod,9931439877,34,10,kamalvinod@gmail.com,HR,Communication skills,Flask,Data mining
Pradeep,Payal,8365259948,27,0,pradeeppayal@gmail.com,Machine learning engineer,Mathematics and Statistics,Node.js,CI/CD pipelines
Sanjana,Sangeeta,6270025033,28,0,sanjanasangeeta@gmail.com,Data scientist,Python,Controls and frameworks ,DBMS
Shruti,Rakesh,6839012434,23,0,shrutirakesh@gmail.com,Machine learning engineer,Mathematics and Statistics,Data Analysis and Visualization,AI/ML
Sangeeta,Arvind,8283595677,25,2,sangeetaarvind@gmail.com,HR,Communication skills,Networking and data centres,C/JavaScript/Python
Ralph,Suman,9403905591,26,3,ralphsuman@gmail.com,IoT solutions architect,API automation and testing ,Controls and frameworks ,DBMS
Parul,Ankita,9621607110,27,4,parulankita@gmail.com,Data scientist,python,Operating systems,Intrusion detection
Deepak,Ankita,6522445745,28,0,deepakankita@gmail.com,HR,Communication skills, Data Structures,Algorithms and frameworks
Vinod,Aarav,6814582956,33,10,vinodaarav@gmail.com,Security Analyst, Network security control,Networking and data centres,Java/python
Sunita,Priya,6512107762,24,1,sunitapriya@gmail.com,IoT solutions architect,API automation and testing , Data Structures,Intrusion detection
Kajal,Shivangi,9847764372,29,0,kajalshivangi@gmail.com,Frontend developer,HTML/CSS,Controls and frameworks , HR Management knowledge and expertise
Riya,Rajat,6918379866,26,0,riyarajat@gmail.com,AI/ML architect,Machine Learning Expertise, Data Structures,Algorithms and frameworks
Rohit,Lori,9303778216,25,0,rohitlori@gmail.com,Security Analyst, Network security control,Networking and data centres,Algorithms and frameworks
Ravi,Kavita,6840158547,26,0,ravikavita@gmail.com,Machine learning engineer,Mathematics and Statistics,Operating systems, HR Management knowledge and expertise
Ankita,Kajal,8423584538,30,0,ankitakajal@gmail.com,Cloud architect,Operating systems,DBMS,Java/python
Mukesh,John,9916603476,28,0,mukeshjohn@gmail.com,AI/ML architect,Machine Learning Expertise,Controls and frameworks ,Algorithms and frameworks
Vinay,Mohan,8266362244,33,10,vinaymohan@gmail.com,Security Analyst, Network security control, Administrative expertise,JavaScript
Priya,Riya,8465169668,24,0,priyariya@gmail.com,AI/ML architect,Machine Learning Expertise,Big Data,Java/python
Rajendra,Roshni,9683546505,29,0,rajendraroshni@gmail.com,Data scientist,python,Controls and frameworks ,JavaScript
Mukesh,Meera,8275799948,29,6,mukeshmeera@gmail.com,Data scientist,python,Operating systems,Algorithms and frameworks
Gaurav,Abhinav,8878755136,34,0,gauravabhinav@gmail.com,AI/ML architect,Machine Learning Expertise, Administrative expertise,Intrusion detection
Bobby,Kirti,9863197199,32,9,bobbykirti@gmail.com,Blockchain engineer,Cryptography,Python,AI/ML
Anjali,Eve,6482070884,24,1,anjalieve@gmail.com,Data scientist,Python,ReactJS,Algorithms and frameworks
Ishita,Savita,9896161087,23,0,ishitasavita@gmail.com,Blockchain engineer,Cryptography, Data Structures,pipeline planning
Sanjana,Sanjana,8735024528,24,1,sanjanasanjana@gmail.com,Data scientist,python, Administrative expertise,Java/python
Riya,Ajay,6844761929,31,8,riyaajay@gmail.com,Blockchain engineer,Cryptography,Python,CI/CD pipelines
Vidya,Sheetal,9736733074,25,0,vidyasheetal@gmail.com,DevOps engineer,Linux ,Operating systems,C/JavaScript/Python
Ravi,Naresh,6782815530,23,0,ravinaresh@gmail.com,Data scientist,python, Administrative expertise,Intrusion detection
Ananya,Raju,9791907132,26,3,ananyaraju@gmail.com,Data scientist,python,DBMS,AI/ML
Ria,Payal,8770953176,26,0,riapayal@gmail.com,Cyber security,Scripting,Big Data,Java/python
Meera,Philip,6560389651,34,10,meeraphilip@gmail.com,Data scientist,python,Node.js,Algorithms and frameworks
Ashish,Kavita,8955191396,34,10,ashishkavita@gmail.com,HR,Communication skills, Administrative expertise,Intrusion detection
Nisha,Suman,6915748533,26,3,nishasuman@gmail.com,AI/ML architect,Machine Learning Expertise,Data Analysis and Visualization,Cloud
Russell,Ananya,6138682595,29,6,russellananya@gmail.com,Data scientist,python,Operating systems,CI/CD pipelines
Eugene,Pradeep,6844848517,33,10,eugenepradeep@gmail.com,Data scientist,python,Networking and data centres,Intrusion detection
Tanisha,Suman,6420470296,26,3,tanishasuman@gmail.com,IoT solutions architect,API automation and testing ,Big Data,Intrusion detection
Bradley,Sandeep,9480270451,33,10,bradleysandeep@gmail.com,DevOps engineer,Linux ,DBMS,Java/python
Neetu,Ramesh,6293024644,26,0,neeturamesh@gmail.com,Machine learning engineer,Mathematics and Statistics,Controls and frameworks ,AI/ML
Reena,Kayla,9387566718,25,0,reenakayla@gmail.com,AI/ML architect,Machine Learning Expertise,ReactJS,DBMS
Payal,Vivek,9475412482,24,1,payalvivek@gmail.com,Cyber security,Scripting,Operating systems,AI/ML
Bobby,Subhash,9929605012,31,8,bobbysubhash@gmail.com,AI/ML architect,Machine Learning Expertise, Data Structures,Cloud
Rohit,Tanvi,8134490098,32,9,rohittanvi@gmail.com,Data scientist,python,Flask,Data mining
Ananya,Riya,8912607438,26,3,ananyariya@gmail.com,DevOps engineer,Linux ,Big Data,Intrusion detection
Bobby,Shivangi,6273521467,35,0,bobbyshivangi@gmail.com,Security Analyst, Network security control, Data Structures,AI/ML
Vinay,Subhash,8310187299,23,0,vinaysubhash@gmail.com,Security Analyst, Network security control,Controls and frameworks ,DBMS
Priya,Neeraj,8294248892,23,0,priyaneeraj@gmail.com,Security Analyst, Network security control,Python,Intrusion detection
Ananya,Suman,9986775878,33,10,ananyasuman@gmail.com,Cloud architect,Operating systems,Data Analysis and Visualization,Intrusion detection
Rajesh,Eve,6164201986,26,0,rajesheve@gmail.com,Data scientist,Python, Administrative expertise,Data mining
Sunita,Ramesh,6353661259,35,0,sunitaramesh@gmail.com,Cyber security,Scripting,Controls and frameworks ,DBMS
Parul,Raju,6435911747,32,9,parulraju@gmail.com,Frontend developer,HTML/CSS,Big Data, HR Management knowledge and expertise
Gaurav,Subhash,9761503718,27,4,gauravsubhash@gmail.com,Machine learning engineer,Mathematics and Statistics,Flask,Java/python
Harsh,Priya,9880574809,30,7,harshpriya@gmail.com,Frontend developer,HTML/CSS,ReactJS,Intrusion detection
Shilpa,Vinay,6886408908,23,0,shilpavinay@gmail.com,Machine learning engineer,Mathematics and Statistics,Controls and frameworks ,AI/ML
Subhash,Kirti,9243921486,28,0,subhashkirti@gmail.com,Frontend developer,HTML/CSS,Controls and frameworks , HR Management knowledge and expertise
Sweta,Vidya,8753692774,24,1,swetavidya@gmail.com,Blockchain engineer,Cryptography,Controls and frameworks ,Data mining
Subhash,Ajay,6161653096,31,8,subhashajay@gmail.com,Blockchain engineer,Cryptography,Controls and frameworks ,Intrusion detection
Renu,Riya,8853153502,27,0,renuriya@gmail.com,Blockchain engineer,Cryptography,Big Data,DBMS
Anika,Ishita,6260309546,23,0,anikaishita@gmail.com,Data scientist,python,Operating systems, HR Management knowledge and expertise
Rajat,Tanvi,6414391992,35,10,rajattanvi@gmail.com,Data scientist,Python,Networking and data centres,Algorithms and frameworks
Mahesh,Rinku,6217566055,35,10,maheshrinku@gmail.com,Data scientist,python,ReactJS,Algorithms and frameworks
Shruti,Ramesh,8526439721,24,0,shrutiramesh@gmail.com,Frontend developer,HTML/CSS,Big Data,JavaScript
Raghav,Mukesh,8392406013,32,9,raghavmukesh@gmail.com,Machine learning engineer,Mathematics and Statistics,Python,pipeline planning
Shubham,Rakesh,9429247981,28,5,shubhamrakesh@gmail.com,IoT solutions architect,API automation and testing ,Operating systems,Algorithms and frameworks
Raju,Priya,9123457716,30,7,rajupriya@gmail.com,Security Analyst, Network security control,ReactJS,pipeline planning
Shilpa,Sunita,8363102887,30,0,shilpasunita@gmail.com,AI/ML architect,Machine Learning Expertise,Flask, HR Management knowledge and expertise
Alka,Vinod,9573168657,24,0,alkavinod@gmail.com,DevOps engineer,Linux ,ReactJS,Algorithms and frameworks
Shilpa,Rajesh,9506917511,35,0,shilparajesh@gmail.com,DevOps engineer,Linux ,Data Analysis and Visualization,pipeline planning
Sanjay,Pooja,8838471759,27,4,sanjaypooja@gmail.com,DevOps engineer,Linux , Data Structures,Java/python
Gaurav,Sunil,8354836607,26,3,gauravsunil@gmail.com,Frontend developer,HTML/CSS,Data Analysis and Visualization,Java/python
Manoj,Rakesh,8433706151,35,10,manojrakesh@gmail.com,IoT solutions architect,API automation and testing ,Flask,AI/ML
Sunil,Sonam,9631621328,25,0,sunilsonam@gmail.com,Data scientist,python, Administrative expertise,pipeline planning
Ria,Ananya,6957861791,33,10,riaananya@gmail.com,Data scientist,Python,Node.js,Intrusion detection
Akshara,Ankita,6956667301,27,4,aksharaankita@gmail.com,DevOps engineer,Linux ,Operating systems,Data mining
Lori,Sunil,9665736226,32,0,lorisunil@gmail.com,AI/ML architect,Machine Learning Expertise, Data Structures, HR Management knowledge and expertise
Vijay,Savita,8422041054,28,5,vijaysavita@gmail.com,Machine learning engineer,Mathematics and Statistics,Data Analysis and Visualization,Algorithms and frameworks
Kayla,Kavita,6657594547,32,0,kaylakavita@gmail.com,HR,Communication skills,ReactJS,Java/python
Rohan,Sumit,6971292943,28,0,rohansumit@gmail.com,HR,Communication skills, Administrative expertise,Java/python
Vinod,Avinash,6224321825,30,7,vinodavinash@gmail.com,DevOps engineer,Linux ,Operating systems,JavaScript
Rakesh,John,8981141922,35,10,rakeshjohn@gmail.com,HR,Communication skills,Node.js,Java/python
Rahul,Manish,8301188652,35,0,rahulmanish@gmail.com,Cyber security,Scripting,Controls and frameworks ,Algorithms and frameworks
Riya,Sandeep,8674651833,34,0,riyasandeep@gmail.com,Blockchain engineer,Cryptography,Node.js,JavaScript
Meera,Nisha,6443700396,24,0,meeranisha@gmail.com,Cyber security,Scripting,Node.js,Cloud
Avinash,Sonam,8188864704,33,10,avinashsonam@gmail.com,Data scientist,Python,Data Analysis and Visualization,DBMS
Mukesh,Rajesh,8998372660,30,0,mukeshrajesh@gmail.com,Cloud architect,Operating systems,Controls and frameworks ,Intrusion detection
Divya,Neeraj,6825551056,31,0,divyaneeraj@gmail.com,Frontend developer,HTML/CSS,Data Analysis and Visualization,pipeline planning
Rahul,Sunil,9262488594,35,0,rahulsunil@gmail.com,HR,Communication skills,Flask,Cloud
Manish,Vivek,8304340377,31,8,manishvivek@gmail.com,Cloud architect,Operating systems,Controls and frameworks ,Intrusion detection
Pradeep,Arvind,8149041041,28,0,pradeeparvind@gmail.com,Machine learning engineer,Mathematics and Statistics,Node.js,C/JavaScript/Python
Eugene,Bob,9574810809,32,0,eugenebob@gmail.com,Frontend developer,HTML/CSS,Python,JavaScript
Doris,Riya,6987875805,25,2,dorisriya@gmail.com,HR,Communication skills,Flask,Intrusion detection
Pranav,Ritu,9981952350,25,0,pranavritu@gmail.com,IoT solutions architect,API automation and testing , Data Structures,C/JavaScript/Python
Shilpa,Ajay,9185622302,28,0,shilpaajay@gmail.com,Data scientist,Python,Controls and frameworks ,Data mining
Sandeep,Ishita,8865421690,29,0,sandeepishita@gmail.com,AI/ML architect,Machine Learning Expertise,Flask,Intrusion detection
Raghav,Vinod,9423131448,34,0,raghavvinod@gmail.com,Blockchain engineer,Cryptography,Flask,C/JavaScript/Python
Neetu,Rohan,8430916379,32,9,neeturohan@gmail.com,IoT solutions architect,API automation and testing ,Networking and data centres,AI/ML
Raghav,Ashish,6911926384,35,0,raghavashish@gmail.com,Frontend developer,HTML/CSS, Data Structures,Java/python
Renu,Manoj,6634123396,35,10,renumanoj@gmail.com,Data scientist,Python,Node.js,Algorithms and frameworks
Akshara,Aarav,8268509193,34,10,aksharaaarav@gmail.com,DevOps engineer,Linux ,Big Data,Data mining
Gaurav,Alice,6646835346,29,0,gauravalice@gmail.com,Data scientist,python,Data Analysis and Visualization,pipeline planning
Renu,John,6754170626,29,0,renujohn@gmail.com,Blockchain engineer,Cryptography,Flask,CI/CD pipelines
Riya,Santosh,6467634555,32,9,riyasantosh@gmail.com,DevOps engineer,Linux ,Python,AI/ML
Deepak,Santosh,8861377142,25,0,deepaksantosh@gmail.com,Machine learning engineer,Mathematics and Statistics,DBMS,Java/python
Roshni,Vivek,9618363328,32,0,roshnivivek@gmail.com,Security Analyst, Network security control,Python,C/JavaScript/Python
Kayla,Manoj,9772849634,35,0,kaylamanoj@gmail.com,Cyber security,Scripting,DBMS, HR Management knowledge and expertise
Priya,Ashish,8901358889,25,2,priyaashish@gmail.com,Blockchain engineer,Cryptography, Administrative expertise,Data mining
Raghav,Shivangi,6129435956,34,10,raghavshivangi@gmail.com,Cloud architect,Operating systems,Networking and data centres,Cloud
Abhinav,Neeraj,8721027409,23,0,abhinavneeraj@gmail.com,HR,Communication skills,ReactJS,Cloud
Kavita,Ramesh,9545129235,33,0,kavitaramesh@gmail.com,IoT solutions architect,API automation and testing ,Operating systems,Cloud
Anjana,Nisha,9500343644,31,8,anjananisha@gmail.com,DevOps engineer,Linux ,Networking and data centres,Data mining
Ajay,Ashish,8932245998,26,0,ajayashish@gmail.com,AI/ML architect,Machine Learning Expertise,Node.js,DBMS
Ananya,Bradley,6488561042,24,1,ananyabradley@gmail.com,Frontend developer,HTML/CSS,Node.js,Intrusion detection
Subhash,Shubham,6714391841,33,10,subhashshubham@gmail.com,IoT solutions architect,API automation and testing ,Networking and data centres, HR Management knowledge and expertise
Kavita,Ralph,9740777968,25,0,kavitaralph@gmail.com,HR,Communication skills,Controls and frameworks ,Data mining
Raghav,Vikas,8843680249,25,0,raghavvikas@gmail.com,Cloud architect,Operating systems,Python,Java/python
Rajendra,Bhavna,9178457060,28,0,rajendrabhavna@gmail.com,Cloud architect,Operating systems,Flask,CI/CD pipelines
Eve,Roshni,6209457712,31,8,everoshni@gmail.com,IoT solutions architect,API automation and testing ,Big Data,AI/ML
Sheetal,Vidya,9208066537,34,0,sheetalvidya@gmail.com,Cloud architect,Operating systems,DBMS,AI/ML
Pradeep,Kajal,9280924850,24,0,pradeepkajal@gmail.com,Cyber security,Scripting,Controls and frameworks ,Algorithms and frameworks
Ankita,Anjali,6250976155,23,0,ankitaanjali@gmail.com,DevOps engineer,Linux ,Operating systems,Intrusion detection
Vinay,Mahesh,6704369700,34,10,vinaymahesh@gmail.com,DevOps engineer,Linux ,ReactJS,Data mining
Vandana,Rajesh,9305475375,32,9,vandanarajesh@gmail.com,DevOps engineer,Linux , Data Structures,JavaScript
Roshni,Rakesh,8723477444,28,0,roshnirakesh@gmail.com,Cyber security,Scripting, Administrative expertise, HR Management knowledge and expertise
Bhavna,Raghav,8833299606,25,2,bhavnaraghav@gmail.com,Cloud architect,Operating systems,ReactJS,pipeline planning
Aarav,Priyanka,9340641123,27,4,aaravpriyanka@gmail.com,Frontend developer,HTML/CSS, Administrative expertise,Cloud
Ramesh,Renu,8422115526,24,1,rameshrenu@gmail.com,Cloud architect,Operating systems,ReactJS,CI/CD pipelines
Ritu,Ritu,9613265273,26,0,rituritu@gmail.com,Cyber security,Scripting, Administrative expertise,Data mining
Ramesh,Suresh,8375546802,30,0,rameshsuresh@gmail.com,AI/ML architect,Machine Learning Expertise,DBMS,Java/python
Suresh,Vandana,9246240853,34,10,sureshvandana@gmail.com,HR,Communication skills, Administrative expertise, HR Management knowledge and expertise
Neeraj,Satish,8979743798,28,0,neerajsatish@gmail.com,AI/ML architect,Machine Learning Expertise,DBMS,Algorithms and frameworks
Riya,Vijay,6590378795,23,0,riyavijay@gmail.com,Security Analyst, Network security control,Networking and data centres,C/JavaScript/Python
Bobby,Russell,9834205804,32,9,bobbyrussell@gmail.com,Machine learning engineer,Mathematics and Statistics,Python,Data mining
Sonam,Reena,9108319884,27,0,sonamreena@gmail.com,Security Analyst, Network security control, Administrative expertise,CI/CD pipelines
Kajal,Kayla,8988516797,34,10,kajalkayla@gmail.com,Cyber security,Scripting,ReactJS,Intrusion detection
Alice,Mohan,6682085845,29,0,alicemohan@gmail.com,Frontend developer,HTML/CSS,ReactJS,Cloud
Riyaan,Pradeep,6471032027,33,0,riyaanpradeep@gmail.com,Data scientist,Python,Controls and frameworks ,Cloud
Raghav,Renu,9594032024,31,0,raghavrenu@gmail.com,HR,Communication skills,Operating systems,Intrusion detection
Ishita,Sanjay,9709401611,33,10,ishitasanjay@gmail.com,Frontend developer,HTML/CSS, Data Structures,Cloud
Juhi,Rajendra,8300390758,28,5,juhirajendra@gmail.com,Machine learning engineer,Mathematics and Statistics,Big Data,DBMS
Lori,Priyanka,8705374568,32,9,loripriyanka@gmail.com,Frontend developer,HTML/CSS, Administrative expertise,JavaScript
Kavita,Priyanka,8950890171,26,0,kavitapriyanka@gmail.com,Data scientist,python,DBMS,C/JavaScript/Python
Alice,Alka,8361972947,29,0,alicealka@gmail.com,Frontend developer,HTML/CSS,Big Data,CI/CD pipelines
Vivek,Eve,9253767255,32,0,vivekeve@gmail.com,AI/ML architect,Machine Learning Expertise,DBMS,CI/CD pipelines
Alice,Kajal,8499398118,33,10,alicekajal@gmail.com,Frontend developer,HTML/CSS,Flask, HR Management knowledge and expertise
Rakesh,Vinod,9880138576,31,8,rakeshvinod@gmail.com,Blockchain engineer,Cryptography,Networking and data centres,DBMS
Sanjana,Akshara,9718679715,28,0,sanjanaakshara@gmail.com,Data scientist,python,Flask,pipeline planning
Ralph,Tanisha,8230160601,33,0,ralphtanisha@gmail.com,Cloud architect,Operating systems,Controls and frameworks ,CI/CD pipelines
Abhinav,Kavita,9882881013,26,0,abhinavkavita@gmail.com,Data scientist,python,Operating systems,Data mining
Rohan,Russell,6963176331,30,0,rohanrussell@gmail.com,AI/ML architect,Machine Learning Expertise,Controls and frameworks ,Algorithms and frameworks
